"","1.BC31","1.BC39","1.BC47","1.CR3","2.BC10","2.BC11","2.BC27","2.BC2","2.BC30","2.BC35","2.BC36","2.BC38","2.BC3","2.BC41","2.BC4","2.BC59","2.BC5","2.BC6","2.BC7","2.BC8","2.BC93","2.BC9","2.CR12","2.CR15","3.BC12","3.BC50","3.BC55","3.BC58","3.BC62","3.BC74","3.BC75","3.BC77","3.BC80","3.BC82","3.BC83","3.BC84","3.BC86","3.CR1","3.CR4","3.CR5","3.CR8"
"hsa-miR-6739-5p",0,0,0,0,0,5.35085251136155,0,0,3.21819055857346,0,0,0,0,0,1.98288839475709,0.0837938967016833,0,0,0,0,0,0,0.8402638794373,0,2.66636302322314,0,0.239560270194503,0,0,0.11293918471919,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6740-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90082444079907,0,0,0,0,2.66636302322314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6740-5p",0,0,0,0,0,0,0,0.450984108602911,0,0,0,0,0,0.580513741385091,0,0,0,0,0.638996108978952,0,0,0,0,0,2.66636302322314,0.49652106329478,0,0.718942362544646,0,0,0,0,0,0,0.429600794729066,0.62154835585574,0,0,8.03315919981489,0,0
"hsa-miR-6741-3p",6.15096908937246,0,0,0,0,0,0,1.12746027150728,1.60909527928673,1.9056845705206,0,2.48501219978925,0,0.870770612077636,0,2.17864131424377,0,1.84501191392496,2.55598443591581,0,0,0,1.6805277588746,0,0,0.49652106329478,0.479120540389007,0,0,0,0,0,0,0.134293607879553,0,0.155387088963935,0,0,16.0663183996298,0,0.248905964959357
"hsa-miR-6741-5p",24.6038763574898,0.800673710312716,0,0,2.52149949377452,5.35085251136155,0,0,0,1.9056845705206,0,2.48501219978925,0,1.16102748277018,0,1.92725962413872,0,5.53503574177489,2.55598443591581,2.70247332239721,0,4.44351403552804,0,21.9528085496758,21.3309041857852,2.97912637976868,2.15604243175053,0,4.99417534636452,1.91996614022623,1.73974176928271,1.54807953949905,0.443987577940572,1.47722968667508,0.945121748403946,0.31077417792787,0.65447596380599,0,4.01657959990745,1.13837295223645,1.24452982479679
"hsa-miR-6742-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88702807105607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6743-3p",0,0.800673710312716,0,0,0,0,0,0,0,0,0,0,4.07883689081585,0,1.98288839475709,0.0837938967016833,0,1.84501191392496,0,0,0,4.44351403552804,1.6805277588746,0,2.66636302322314,0,0,0,0.129718840165312,0.451756738876759,0,0,0,0,0.343680635783253,0,0,0,0,0,0.248905964959357
"hsa-miR-6743-5p",0,0,0,0,0,0,0,0,1.60909527928673,0,0,0,0,0,0,0.0837938967016833,0,0,0,0,0,0,0,0,0,0,0,0.143788472508929,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6745",0,0,0,24.6846979428406,0,2.67542625568078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6746-3p",0,0,0,0,1.26074974688726,0,0,0.225492054301455,1.60909527928673,0,0,0,0,0.290256870692545,5.94866518427126,0.335175586806733,5.44470609727209,0,0,0,0,0,0,0,0,0,0.71868081058351,0,0,0.225878369438379,0,0.258013256583175,0,0.134293607879553,0,0.155387088963935,0,0,4.01657959990745,0,0.995623859837428
