"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-378h",0.966830091993719,-5.76986727976452,1.84485860467083,-3.12753902394271,0.00176276416855045,0.0215786648219107
"hsa-miR-378i",10.7216119058141,-3.7946528901254,1.04719424629193,-3.62363802471423,0.000290488072729375,0.00711194936682263
"hsa-miR-3960",187.801535415983,-2.22965270939437,0.797858095087028,-2.79454795674057,0.00519723316047387,0.0512504936657839
"hsa-miR-422a",9.65376037561991,-3.69429064613625,0.908885546910203,-4.06463790594444,4.81070881703548e-05,0.00284633605007933
"hsa-miR-4271",1.32825546305818,-7.35875562381501,2.32340300921752,-3.16723168327706,0.00153897655657939,0.0202540524820748
"hsa-miR-4298",0.770145935262405,-5.27813366805064,2.04332237029031,-2.58311353352469,0.00979130961122917,0.0748617915572798
"hsa-miR-4306",37.7257495332884,-3.13157450570376,0.57714959992629,-5.42593203929052,5.76528939480844e-08,2.04667773515699e-05
"hsa-miR-4429",16.1936312961376,-3.14646496042192,0.66804441601165,-4.70996371649494,2.47760894690376e-06,0.000439775588075418
"hsa-miR-4433b-3p",2.75259208450711,-3.73231581444308,1.27341745593903,-2.93094444169595,0.00337933213116419,0.0368102972413881
"hsa-miR-4466",0.85812092375789,-5.09975762343059,1.93368238540484,-2.63732951281081,0.00835616173995715,0.0674190322201088
"hsa-miR-4488",71.6901561311771,-2.26318003942369,0.773191594917335,-2.92706239216899,0.00342180227877692,0.0368102972413881
"hsa-miR-4492",6.77483768772113,-2.6190842455734,0.786519506174796,-3.32996731169606,0.000868561801284262,0.0143413692770192
"hsa-miR-4497",4.85883830824584,-3.15084056606782,1.25753250915886,-2.50557384649671,0.0122252866513786,0.0847908601223485
"hsa-miR-4508",117.819298642202,-2.53109142367791,0.787313169161435,-3.21484705555448,0.00130514040318247,0.0185714157099216
"hsa-miR-4526",1.83888526070642,-6.09511059201424,1.55210848318727,-3.92698748704593,8.60164542947482e-05,0.00359245191466301
"hsa-miR-4634",3.97751581377567,-3.4903908632152,1.01243985528611,-3.44750440729027,0.000565791175919996,0.0111586593028666
"hsa-miR-4665-5p",1.83676340187651,-2.92889772006174,1.07957736443678,-2.71300401114815,0.00666762994808508,0.0606925290146206
"hsa-miR-4668-5p",1.55228604374657,-4.37812785652392,1.73845018264613,-2.51840858037121,0.0117886481937489,0.0828706952233836
"hsa-miR-4687-5p",0.6561252425344,-5.17192964364953,1.98823680987972,-2.60126440570347,0.00928808368722086,0.0732726601991868
"hsa-miR-4707-3p",0.71564672139388,-4.76932863298972,1.96937193264298,-2.42175109431416,0.0154459260659247,0.0978549176538743
"hsa-miR-4738-3p",3.68242693902048,-5.72448110096093,1.20581556572082,-4.74739360122534,2.06054722364392e-06,0.000439775588075418
"hsa-miR-4740-3p",3.00336651542332,-4.70571888206694,1.29478437336658,-3.63436490188058,0.000278666229540208,0.00706617939191243
"hsa-miR-4747-5p",2.74984535342459,-3.0436641214873,1.21903424812586,-2.49678311020927,0.0125325583695621,0.0847908601223485
"hsa-miR-4766-3p",0.782251309580848,-3.75298396749037,1.47700957657868,-2.54093407856143,0.0110556762157908,0.0800972460531781
"hsa-miR-4787-5p",2.869761950653,-3.94432570540961,0.928396904380547,-4.24853388329787,2.15174105136825e-05,0.00152773614647146
"hsa-miR-483-5p",406.959779004417,-2.61237233073306,0.697478526893834,-3.745451981679,0.000180069288304579,0.00581132703164776
"hsa-miR-5187-5p",3.60484271327997,-4.29167838120527,1.17488388141953,-3.65285323007405,0.000259342480353583,0.00681974670559421
"hsa-miR-5189-5p",1.39327978479483,-3.03729926654263,1.14327312666587,-2.65666986803085,0.00789166817036847,0.0651521441972281
