GeneID;1-BC31;1-BC39;1-BC47;1-CR3;2-BC10;2-BC11;2-BC27;2-BC2;2-BC30;2-BC35;2-BC36;2-BC38;2-BC3;2-BC41;2-BC4;2-BC59;2-BC5;2-BC6;2-BC7;2-BC8;2-BC93;2-BC9;2-CR12;2-CR15;3-BC12;3-BC50;3-BC55;3-BC58;3-BC62;3-BC74;3-BC75;3-BC77;3-BC80;3-BC82;3-BC83;3-BC84;3-BC86;3-CR1;3-CR4;3-CR5;3-CR8
hsa-miR-10525-3p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-miR-10526-3p;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-miR-10527-5p;0;6;0;0;5;4;0;17;4;13;0;1;0;12;0;51;0;0;5;5;2;0;3;3;0;1;8;6;10;14;6;0;2;6;0;3;0;0;0;5;0
hsa-miR-106a-3p;0;2;0;0;3;0;0;9;0;5;0;0;0;2;0;12;0;0;3;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-miR-106a-5p;1;8;5;0;17;1;3;17;8;27;0;3;1;16;6;61;3;5;18;13;4;2;10;1;3;8;13;12;11;7;13;19;9;21;16;1;2;0;8;2;6
hsa-miR-106b-3p;53;162;183;24;544;101;172;982;158;1415;3;261;115;768;164;4536;56;147;779;336;116;218;409;31;0;5;9;0;20;8;9;1;0;0;0;0;5;0;0;4;16
hsa-miR-106b-5p;0;16;25;2;96;27;46;195;34;140;1;71;9;183;31;553;13;24;184;84;10;20;133;5;6;24;59;20;52;58;55;31;44;42;84;37;6;0;6;23;64
hsa-miR-107;3;289;54;11;541;72;268;1770;432;1839;2;773;62;2293;229;3268;60;194;817;516;40;101;1013;16;42;179;911;315;348;1294;792;378;443;514;986;952;422;0;30;349;412
hsa-miR-10a-3p;0;0;0;0;0;1;1;6;1;7;0;0;0;7;0;15;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
hsa-miR-10a-5p;214;103;158;1;13;4;25;258;41;168;0;17;1;303;9;533;0;18;19;44;61;5;35;0;10;18;212;33;130;669;143;256;140;245;602;260;120;0;6;46;3
